time ;Austria;Greece;Spain;Norway;UK
01.01.2019 00:00;0;0;0;0;0
01.01.2019 01:00;0;0;0;0;0
01.01.2019 02:00;0;0;0;0;0
01.01.2019 03:00;0;0;0;0;0
01.01.2019 04:00;0;0;0;0;0
01.01.2019 05:00;0;0;0;0;0
01.01.2019 06:00;0;0;0;0;0
01.01.2019 07:00;0;0;0;0;0
01.01.2019 08:00;0.017;0.015;0.007;0;0.002
01.01.2019 09:00;0.05;0.049;0.311;0.002;0.022
01.01.2019 10:00;0.096;0.098;0.438;0.045;0.044
01.01.2019 11:00;0.132;0.134;0.458;0.065;0.063
01.01.2019 12:00;0.136;0.131;0.411;0.044;0.081
01.01.2019 13:00;0.095;0.127;0.314;0.022;0.074
01.01.2019 14:00;0.061;0.101;0.177;0.003;0.047
01.01.2019 15:00;0.015;0.07;0.034;0;0.007
01.01.2019 16:00;0;0.022;0.028;0;0
01.01.2019 17:00;0;0;0.007;0;0
01.01.2019 18:00;0;0;0;0;0
01.01.2019 19:00;0;0;0;0;0
01.01.2019 20:00;0;0;0;0;0
01.01.2019 21:00;0;0;0;0;0
01.01.2019 22:00;0;0;0;0;0
01.01.2019 23:00;0;0;0;0;0
02.01.2019 00:00;0;0;0;0;0
02.01.2019 01:00;0;0;0;0;0
02.01.2019 02:00;0;0;0;0;0
02.01.2019 03:00;0;0;0;0;0
02.01.2019 04:00;0;0;0;0;0
02.01.2019 05:00;0;0;0;0;0
02.01.2019 06:00;0;0;0;0;0
02.01.2019 07:00;0;0;0;0;0
02.01.2019 08:00;0.035;0.087;0.01;0;0.041
02.01.2019 09:00;0.15;0.302;0.354;0.006;0.137
02.01.2019 10:00;0.228;0.37;0.472;0.068;0.187
02.01.2019 11:00;0.19;0.348;0.482;0.088;0.178
02.01.2019 12:00;0.12;0.307;0.427;0.056;0.129
02.01.2019 13:00;0.081;0.229;0.323;0.027;0.063
02.01.2019 14:00;0.042;0.1;0.18;0.009;0.042
02.01.2019 15:00;0.007;0.054;0.031;0;0.007
02.01.2019 16:00;0;0.027;0.026;0;0
02.01.2019 17:00;0;0;0.007;0;0
02.01.2019 18:00;0;0;0;0;0
02.01.2019 19:00;0;0;0;0;0
02.01.2019 20:00;0;0;0;0;0
02.01.2019 21:00;0;0;0;0;0
02.01.2019 22:00;0;0;0;0;0
02.01.2019 23:00;0;0;0;0;0
03.01.2019 00:00;0;0;0;0;0
03.01.2019 01:00;0;0;0;0;0
03.01.2019 02:00;0;0;0;0;0
03.01.2019 03:00;0;0;0;0;0
03.01.2019 04:00;0;0;0;0;0
03.01.2019 05:00;0;0;0;0;0
03.01.2019 06:00;0;0;0;0;0
03.01.2019 07:00;0;0;0;0;0
03.01.2019 08:00;0.064;0.02;0.006;0;0.011
03.01.2019 09:00;0.138;0.06;0.284;0.001;0.066
03.01.2019 10:00;0.18;0.11;0.426;0.026;0.13
03.01.2019 11:00;0.147;0.118;0.453;0.044;0.156
03.01.2019 12:00;0.075;0.123;0.408;0.055;0.129
03.01.2019 13:00;0.031;0.063;0.305;0.029;0.07
03.01.2019 14:00;0.014;0.052;0.18;0.01;0.045
03.01.2019 15:00;0.001;0.046;0.092;0;0.007
03.01.2019 16:00;0;0.026;0.058;0;0
03.01.2019 17:00;0;0;0.008;0;0
03.01.2019 18:00;0;0;0;0;0
03.01.2019 19:00;0;0;0;0;0
03.01.2019 20:00;0;0;0;0;0
03.01.2019 21:00;0;0;0;0;0
03.01.2019 22:00;0;0;0;0;0
03.01.2019 23:00;0;0;0;0;0
04.01.2019 00:00;0;0;0;0;0
04.01.2019 01:00;0;0;0;0;0
04.01.2019 02:00;0;0;0;0;0
04.01.2019 03:00;0;0;0;0;0
04.01.2019 04:00;0;0;0;0;0
04.01.2019 05:00;0;0;0;0;0
04.01.2019 06:00;0;0;0;0;0
04.01.2019 07:00;0;0;0;0;0
04.01.2019 08:00;0.135;0.07;0.01;0;0.032
04.01.2019 09:00;0.267;0.188;0.34;0.003;0.085
04.01.2019 10:00;0.237;0.208;0.462;0.045;0.124
04.01.2019 11:00;0.185;0.291;0.479;0.066;0.13
04.01.2019 12:00;0.132;0.254;0.429;0.045;0.11
04.01.2019 13:00;0.082;0.205;0.327;0.024;0.065
04.01.2019 14:00;0.031;0.14;0.185;0.005;0.04
04.01.2019 15:00;0.003;0.081;0.03;0;0.008
04.01.2019 16:00;0;0.024;0.024;0;0
04.01.2019 17:00;0;0;0.007;0;0
04.01.2019 18:00;0;0;0;0;0
04.01.2019 19:00;0;0;0;0;0
04.01.2019 20:00;0;0;0;0;0
04.01.2019 21:00;0;0;0;0;0
04.01.2019 22:00;0;0;0;0;0
04.01.2019 23:00;0;0;0;0;0
05.01.2019 00:00;0;0;0;0;0
05.01.2019 01:00;0;0;0;0;0
05.01.2019 02:00;0;0;0;0;0
05.01.2019 03:00;0;0;0;0;0
05.01.2019 04:00;0;0;0;0;0
05.01.2019 05:00;0;0;0;0;0
05.01.2019 06:00;0;0;0;0;0
05.01.2019 07:00;0;0;0;0;0
05.01.2019 08:00;0.005;0.129;0.012;0;0.009
05.01.2019 09:00;0.015;0.135;0.35;0.01;0.052
05.01.2019 10:00;0.025;0.124;0.463;0.076;0.106
05.01.2019 11:00;0.036;0.168;0.477;0.101;0.112
05.01.2019 12:00;0.046;0.188;0.427;0.06;0.096
05.01.2019 13:00;0.063;0.181;0.326;0.027;0.068
05.01.2019 14:00;0.046;0.132;0.186;0.01;0.037
05.01.2019 15:00;0.01;0.078;0.031;0;0.005
05.01.2019 16:00;0;0.022;0.025;0;0
05.01.2019 17:00;0;0;0.007;0;0
05.01.2019 18:00;0;0;0;0;0
05.01.2019 19:00;0;0;0;0;0
05.01.2019 20:00;0;0;0;0;0
05.01.2019 21:00;0;0;0;0;0
05.01.2019 22:00;0;0;0;0;0
05.01.2019 23:00;0;0;0;0;0
06.01.2019 00:00;0;0;0;0;0
06.01.2019 01:00;0;0;0;0;0
06.01.2019 02:00;0;0;0;0;0
06.01.2019 03:00;0;0;0;0;0
06.01.2019 04:00;0;0;0;0;0
06.01.2019 05:00;0;0;0;0;0
06.01.2019 06:00;0;0;0;0;0
06.01.2019 07:00;0;0.004;0;0;0
06.01.2019 08:00;0.127;0.315;0.016;0;0.004
06.01.2019 09:00;0.227;0.463;0.385;0.003;0.042
06.01.2019 10:00;0.218;0.499;0.488;0.035;0.1
06.01.2019 11:00;0.177;0.466;0.495;0.06;0.13
06.01.2019 12:00;0.153;0.378;0.438;0.055;0.121
06.01.2019 13:00;0.092;0.245;0.332;0.03;0.062
06.01.2019 14:00;0.061;0.094;0.188;0.011;0.028
06.01.2019 15:00;0.014;0.047;0.028;0;0.002
06.01.2019 16:00;0;0.025;0.022;0;0
06.01.2019 17:00;0;0;0.006;0;0
06.01.2019 18:00;0;0;0;0;0
06.01.2019 19:00;0;0;0;0;0
06.01.2019 20:00;0;0;0;0;0
06.01.2019 21:00;0;0;0;0;0
06.01.2019 22:00;0;0;0;0;0
06.01.2019 23:00;0;0;0;0;0
07.01.2019 00:00;0;0;0;0;0
07.01.2019 01:00;0;0;0;0;0
07.01.2019 02:00;0;0;0;0;0
07.01.2019 03:00;0;0;0;0;0
07.01.2019 04:00;0;0;0;0;0
07.01.2019 05:00;0;0;0;0;0
07.01.2019 06:00;0;0;0;0;0
07.01.2019 07:00;0;0.002;0;0;0
07.01.2019 08:00;0.095;0.214;0.016;0;0.001
07.01.2019 09:00;0.178;0.316;0.369;0.001;0.015
07.01.2019 10:00;0.171;0.267;0.477;0.006;0.053
07.01.2019 11:00;0.164;0.246;0.486;0.01;0.072
07.01.2019 12:00;0.145;0.22;0.431;0.013;0.068
07.01.2019 13:00;0.102;0.173;0.329;0.007;0.048
07.01.2019 14:00;0.059;0.102;0.189;0;0.03
07.01.2019 15:00;0.013;0.061;0.035;0;0.007
07.01.2019 16:00;0;0.016;0.027;0;0
07.01.2019 17:00;0;0;0.008;0;0
07.01.2019 18:00;0;0;0;0;0
07.01.2019 19:00;0;0;0;0;0
07.01.2019 20:00;0;0;0;0;0
07.01.2019 21:00;0;0;0;0;0
07.01.2019 22:00;0;0;0;0;0
07.01.2019 23:00;0;0;0;0;0
08.01.2019 00:00;0;0;0;0;0
08.01.2019 01:00;0;0;0;0;0
08.01.2019 02:00;0;0;0;0;0
08.01.2019 03:00;0;0;0;0;0
08.01.2019 04:00;0;0;0;0;0
08.01.2019 05:00;0;0;0;0;0
08.01.2019 06:00;0;0;0;0;0
08.01.2019 07:00;0;0;0;0;0
08.01.2019 08:00;0.005;0.063;0.013;0;0.01
08.01.2019 09:00;0.025;0.184;0.347;0;0.038
08.01.2019 10:00;0.063;0.255;0.465;0.009;0.108
08.01.2019 11:00;0.095;0.3;0.48;0.021;0.198
08.01.2019 12:00;0.154;0.295;0.429;0.023;0.152
08.01.2019 13:00;0.105;0.24;0.33;0.014;0.055
08.01.2019 14:00;0.068;0.131;0.192;0.003;0.039
08.01.2019 15:00;0.011;0.075;0.038;0;0.011
08.01.2019 16:00;0;0.032;0.028;0;0
08.01.2019 17:00;0;0;0.008;0;0
08.01.2019 18:00;0;0;0;0;0
08.01.2019 19:00;0;0;0;0;0
08.01.2019 20:00;0;0;0;0;0
08.01.2019 21:00;0;0;0;0;0
08.01.2019 22:00;0;0;0;0;0
08.01.2019 23:00;0;0;0;0;0
09.01.2019 00:00;0;0;0;0;0
09.01.2019 01:00;0;0;0;0;0
09.01.2019 02:00;0;0;0;0;0
