time ;Austria;Greece;Spain;Norway;UK
01.01.2019 00:00;0;0;0;0;0
01.01.2019 01:00;0;0;0;0;0
01.01.2019 02:00;0;0;0;0;0
01.01.2019 03:00;0;0;0;0;0
01.01.2019 04:00;0;0;0;0;0
01.01.2019 05:00;0;0;0;0;0
01.01.2019 06:00;0;0;0;0;0
01.01.2019 07:00;0;0;0;0;0
01.01.2019 08:00;0.017;0.015;0.004;0;0.002
01.01.2019 09:00;0.052;0.05;0.267;0.004;0.023
01.01.2019 10:00;0.109;0.101;0.484;0.072;0.048
01.01.2019 11:00;0.169;0.142;0.617;0.134;0.071
01.01.2019 12:00;0.216;0.14;0.682;0.107;0.107
01.01.2019 13:00;0.188;0.14;0.689;0.044;0.153
01.01.2019 14:00;0.15;0.116;0.642;0.006;0.144
01.01.2019 15:00;0.038;0.085;0.536;0;0.026
01.01.2019 16:00;0;0.029;0.359;0;0
01.01.2019 17:00;0;0;0.111;0;0
01.01.2019 18:00;0;0;0;0;0
01.01.2019 19:00;0;0;0;0;0
01.01.2019 20:00;0;0;0;0;0
01.01.2019 21:00;0;0;0;0;0
01.01.2019 22:00;0;0;0;0;0
01.01.2019 23:00;0;0;0;0;0
02.01.2019 00:00;0;0;0;0;0
02.01.2019 01:00;0;0;0;0;0
02.01.2019 02:00;0;0;0;0;0
02.01.2019 03:00;0;0;0;0;0
02.01.2019 04:00;0;0;0;0;0
02.01.2019 05:00;0;0;0;0;0
02.01.2019 06:00;0;0;0;0;0
02.01.2019 07:00;0;0;0;0;0
02.01.2019 08:00;0.034;0.076;0.005;0;0.038
02.01.2019 09:00;0.175;0.315;0.301;0.008;0.165
02.01.2019 10:00;0.326;0.457;0.52;0.114;0.281
02.01.2019 11:00;0.299;0.5;0.648;0.212;0.344
02.01.2019 12:00;0.167;0.537;0.707;0.231;0.348
02.01.2019 13:00;0.112;0.576;0.709;0.16;0.279
02.01.2019 14:00;0.054;0.498;0.658;0.049;0.15
02.01.2019 15:00;0.01;0.354;0.549;0;0.028
02.01.2019 16:00;0;0.119;0.372;0;0
02.01.2019 17:00;0;0;0.123;0;0
02.01.2019 18:00;0;0;0;0;0
02.01.2019 19:00;0;0;0;0;0
02.01.2019 20:00;0;0;0;0;0
02.01.2019 21:00;0;0;0;0;0
02.01.2019 22:00;0;0;0;0;0
02.01.2019 23:00;0;0;0;0;0
03.01.2019 00:00;0;0;0;0;0
03.01.2019 01:00;0;0;0;0;0
03.01.2019 02:00;0;0;0;0;0
03.01.2019 03:00;0;0;0;0;0
03.01.2019 04:00;0;0;0;0;0
03.01.2019 05:00;0;0;0;0;0
03.01.2019 06:00;0;0;0;0;0
03.01.2019 07:00;0;0;0;0;0
03.01.2019 08:00;0.061;0.019;0.003;0;0.011
03.01.2019 09:00;0.158;0.06;0.243;0.002;0.073
03.01.2019 10:00;0.233;0.113;0.467;0.037;0.174
03.01.2019 11:00;0.189;0.123;0.604;0.074;0.267
03.01.2019 12:00;0.085;0.13;0.666;0.181;0.31
03.01.2019 13:00;0.034;0.066;0.641;0.142;0.25
03.01.2019 14:00;0.015;0.055;0.525;0.049;0.126
03.01.2019 15:00;0.001;0.051;0.31;0;0.025
03.01.2019 16:00;0;0.037;0.116;0;0
03.01.2019 17:00;0;0;0.018;0;0
03.01.2019 18:00;0;0;0;0;0
03.01.2019 19:00;0;0;0;0;0
03.01.2019 20:00;0;0;0;0;0
03.01.2019 21:00;0;0;0;0;0
03.01.2019 22:00;0;0;0;0;0
03.01.2019 23:00;0;0;0;0;0
04.01.2019 00:00;0;0;0;0;0
04.01.2019 01:00;0;0;0;0;0
04.01.2019 02:00;0;0;0;0;0
04.01.2019 03:00;0;0;0;0;0
04.01.2019 04:00;0;0;0;0;0
04.01.2019 05:00;0;0;0;0;0
04.01.2019 06:00;0;0;0;0;0
04.01.2019 07:00;0;0;0;0;0
04.01.2019 08:00;0.128;0.062;0.005;0;0.03
04.01.2019 09:00;0.326;0.192;0.288;0.004;0.098
04.01.2019 10:00;0.34;0.232;0.507;0.07;0.163
04.01.2019 11:00;0.283;0.373;0.641;0.13;0.195
04.01.2019 12:00;0.195;0.351;0.706;0.102;0.201
04.01.2019 13:00;0.113;0.305;0.712;0.049;0.309
04.01.2019 14:00;0.037;0.221;0.666;0.009;0.244
04.01.2019 15:00;0.004;0.119;0.561;0;0.05
04.01.2019 16:00;0;0.035;0.384;0;0
04.01.2019 17:00;0;0;0.13;0;0
04.01.2019 18:00;0;0;0;0;0
04.01.2019 19:00;0;0;0;0;0
04.01.2019 20:00;0;0;0;0;0
04.01.2019 21:00;0;0;0;0;0
04.01.2019 22:00;0;0;0;0;0
04.01.2019 23:00;0;0;0;0;0
05.01.2019 00:00;0;0;0;0;0
05.01.2019 01:00;0;0;0;0;0
05.01.2019 02:00;0;0;0;0;0
05.01.2019 03:00;0;0;0;0;0
05.01.2019 04:00;0;0;0;0;0
05.01.2019 05:00;0;0;0;0;0
05.01.2019 06:00;0;0;0;0;0
05.01.2019 07:00;0;0;0;0;0
05.01.2019 08:00;0.005;0.11;0.006;0;0.009
05.01.2019 09:00;0.015;0.137;0.295;0.014;0.057
05.01.2019 10:00;0.026;0.129;0.506;0.127;0.129
05.01.2019 11:00;0.038;0.183;0.636;0.249;0.149
05.01.2019 12:00;0.049;0.216;0.699;0.25;0.134
05.01.2019 13:00;0.072;0.229;0.703;0.172;0.102
05.01.2019 14:00;0.057;0.178;0.656;0.058;0.055
05.01.2019 15:00;0.013;0.104;0.551;0;0.009
05.01.2019 16:00;0;0.03;0.375;0;0
05.01.2019 17:00;0;0;0.124;0;0
05.01.2019 18:00;0;0;0;0;0
05.01.2019 19:00;0;0;0;0;0
05.01.2019 20:00;0;0;0;0;0
05.01.2019 21:00;0;0;0;0;0
05.01.2019 22:00;0;0;0;0;0
05.01.2019 23:00;0;0;0;0;0
06.01.2019 00:00;0;0;0;0;0
06.01.2019 01:00;0;0;0;0;0
06.01.2019 02:00;0;0;0;0;0
06.01.2019 03:00;0;0;0;0;0
06.01.2019 04:00;0;0;0;0;0
06.01.2019 05:00;0;0;0;0;0
06.01.2019 06:00;0;0;0;0;0
06.01.2019 07:00;0;0.002;0;0;0
06.01.2019 08:00;0.12;0.252;0.009;0;0.004
06.01.2019 09:00;0.272;0.481;0.323;0.004;0.045
06.01.2019 10:00;0.304;0.626;0.532;0.05;0.121
06.01.2019 11:00;0.266;0.704;0.659;0.111;0.185
06.01.2019 12:00;0.27;0.721;0.717;0.163;0.208
06.01.2019 13:00;0.156;0.672;0.718;0.137;0.086
06.01.2019 14:00;0.114;0.557;0.669;0.057;0.036
06.01.2019 15:00;0.025;0.378;0.566;0;0.004
06.01.2019 16:00;0;0.14;0.394;0;0
06.01.2019 17:00;0;0;0.14;0;0
06.01.2019 18:00;0;0;0;0;0
06.01.2019 19:00;0;0;0;0;0
06.01.2019 20:00;0;0;0;0;0
06.01.2019 21:00;0;0;0;0;0
06.01.2019 22:00;0;0;0;0;0
06.01.2019 23:00;0;0;0;0;0
07.01.2019 00:00;0;0;0;0;0
07.01.2019 01:00;0;0;0;0;0
07.01.2019 02:00;0;0;0;0;0
07.01.2019 03:00;0;0;0;0;0
07.01.2019 04:00;0;0;0;0;0
07.01.2019 05:00;0;0;0;0;0
07.01.2019 06:00;0;0;0;0;0
07.01.2019 07:00;0;0.001;0;0;0
07.01.2019 08:00;0.09;0.175;0.008;0;0.001
07.01.2019 09:00;0.207;0.325;0.309;0.001;0.016
07.01.2019 10:00;0.219;0.305;0.518;0.006;0.056
07.01.2019 11:00;0.229;0.295;0.643;0.011;0.08
07.01.2019 12:00;0.232;0.272;0.701;0.015;0.079
07.01.2019 13:00;0.19;0.214;0.703;0.008;0.057
07.01.2019 14:00;0.1;0.12;0.653;0;0.037
07.01.2019 15:00;0.021;0.073;0.546;0;0.012
07.01.2019 16:00;0;0.02;0.369;0;0
07.01.2019 17:00;0;0;0.119;0;0
07.01.2019 18:00;0;0;0;0;0
07.01.2019 19:00;0;0;0;0;0
07.01.2019 20:00;0;0;0;0;0
07.01.2019 21:00;0;0;0;0;0
07.01.2019 22:00;0;0;0;0;0
07.01.2019 23:00;0;0;0;0;0
08.01.2019 00:00;0;0;0;0;0
08.01.2019 01:00;0;0;0;0;0
08.01.2019 02:00;0;0;0;0;0
08.01.2019 03:00;0;0;0;0;0
08.01.2019 04:00;0;0;0;0;0
08.01.2019 05:00;0;0;0;0;0
08.01.2019 06:00;0;0;0;0;0
08.01.2019 07:00;0;0;0;0;0
08.01.2019 08:00;0.005;0.056;0.007;0;0.009
08.01.2019 09:00;0.026;0.187;0.29;0;0.041
08.01.2019 10:00;0.067;0.291;0.503;0.01;0.136
08.01.2019 11:00;0.107;0.39;0.633;0.025;0.374
08.01.2019 12:00;0.245;0.46;0.694;0.028;0.469
08.01.2019 13:00;0.358;0.509;0.7;0.018;0.402
08.01.2019 14:00;0.142;0.437;0.65;0.004;0.256
08.01.2019 15:00;0.015;0.297;0.543;0;0.059
08.01.2019 16:00;0;0.115;0.367;0;0
08.01.2019 17:00;0;0;0.118;0;0
08.01.2019 18:00;0;0;0;0;0
08.01.2019 19:00;0;0;0;0;0
08.01.2019 20:00;0;0;0;0;0
08.01.2019 21:00;0;0;0;0;0
08.01.2019 22:00;0;0;0;0;0
08.01.2019 23:00;0;0;0;0;0
09.01.2019 00:00;0;0;0;0;0
09.01.2019 01:00;0;0;0;0;0
09.01.2019 02:00;0;0;0;0;0
