time ;Austria;Greece;Spain;Norway;UK
01.01.2019 00:00;0;0;0;0;0
01.01.2019 01:00;0;0;0;0;0
01.01.2019 02:00;0;0;0;0;0
01.01.2019 03:00;0;0;0;0;0
01.01.2019 04:00;0;0;0;0;0
01.01.2019 05:00;0;0;0;0;0
01.01.2019 06:00;0;0;0;0;0
01.01.2019 07:00;0;0;0;0;0
01.01.2019 08:00;0.012;0.013;0;0;0.001
01.01.2019 09:00;0.041;0.045;0.022;0;0.019
01.01.2019 10:00;0.081;0.091;0.031;0.018;0.04
01.01.2019 11:00;0.122;0.129;0.087;0.033;0.06
01.01.2019 12:00;0.156;0.131;0.24;0.049;0.086
01.01.2019 13:00;0.149;0.133;0.356;0.03;0.116
01.01.2019 14:00;0.13;0.113;0.422;0.005;0.118
01.01.2019 15:00;0.039;0.084;0.429;0;0.027
01.01.2019 16:00;0;0.031;0.355;0;0
01.01.2019 17:00;0;0;0.152;0;0
01.01.2019 18:00;0;0;0;0;0
01.01.2019 19:00;0;0;0;0;0
01.01.2019 20:00;0;0;0;0;0
01.01.2019 21:00;0;0;0;0;0
01.01.2019 22:00;0;0;0;0;0
01.01.2019 23:00;0;0;0;0;0
02.01.2019 00:00;0;0;0;0;0
02.01.2019 01:00;0;0;0;0;0
02.01.2019 02:00;0;0;0;0;0
02.01.2019 03:00;0;0;0;0;0
02.01.2019 04:00;0;0;0;0;0
02.01.2019 05:00;0;0;0;0;0
02.01.2019 06:00;0;0;0;0;0
02.01.2019 07:00;0;0;0;0;0
02.01.2019 08:00;0.019;0.034;0;0;0.006
02.01.2019 09:00;0.069;0.074;0.018;0;0.042
02.01.2019 10:00;0.101;0.12;0.027;0.018;0.063
02.01.2019 11:00;0.159;0.226;0.085;0.03;0.121
02.01.2019 12:00;0.131;0.309;0.245;0.068;0.173
02.01.2019 13:00;0.099;0.39;0.364;0.076;0.179
02.01.2019 14:00;0.052;0.4;0.431;0.032;0.122
02.01.2019 15:00;0.01;0.341;0.439;0;0.029
02.01.2019 16:00;0;0.145;0.367;0;0
02.01.2019 17:00;0;0;0.168;0;0
02.01.2019 18:00;0;0;0;0;0
02.01.2019 19:00;0;0;0;0;0
02.01.2019 20:00;0;0;0;0;0
02.01.2019 21:00;0;0;0;0;0
02.01.2019 22:00;0;0;0;0;0
02.01.2019 23:00;0;0;0;0;0
03.01.2019 00:00;0;0;0;0;0
03.01.2019 01:00;0;0;0;0;0
03.01.2019 02:00;0;0;0;0;0
03.01.2019 03:00;0;0;0;0;0
03.01.2019 04:00;0;0;0;0;0
03.01.2019 05:00;0;0;0;0;0
03.01.2019 06:00;0;0;0;0;0
03.01.2019 07:00;0;0;0;0;0
03.01.2019 08:00;0.026;0.016;0;0;0.004
03.01.2019 09:00;0.072;0.054;0.027;0;0.039
03.01.2019 10:00;0.112;0.101;0.04;0.015;0.073
03.01.2019 11:00;0.135;0.114;0.093;0.03;0.118
03.01.2019 12:00;0.078;0.123;0.241;0.063;0.165
03.01.2019 13:00;0.033;0.064;0.339;0.071;0.167
03.01.2019 14:00;0.015;0.055;0.356;0.033;0.104
03.01.2019 15:00;0.001;0.051;0.26;0;0.026
03.01.2019 16:00;0;0.04;0.116;0;0
03.01.2019 17:00;0;0;0.022;0;0
03.01.2019 18:00;0;0;0;0;0
03.01.2019 19:00;0;0;0;0;0
03.01.2019 20:00;0;0;0;0;0
03.01.2019 21:00;0;0;0;0;0
03.01.2019 22:00;0;0;0;0;0
03.01.2019 23:00;0;0;0;0;0
04.01.2019 00:00;0;0;0;0;0
04.01.2019 01:00;0;0;0;0;0
04.01.2019 02:00;0;0;0;0;0
04.01.2019 03:00;0;0;0;0;0
04.01.2019 04:00;0;0;0;0;0
04.01.2019 05:00;0;0;0;0;0
04.01.2019 06:00;0;0;0;0;0
04.01.2019 07:00;0;0;0;0;0
04.01.2019 08:00;0.027;0.036;0;0;0.007
04.01.2019 09:00;0.058;0.099;0.02;0;0.043
04.01.2019 10:00;0.101;0.144;0.029;0.019;0.072
04.01.2019 11:00;0.157;0.225;0.084;0.035;0.107
04.01.2019 12:00;0.147;0.254;0.244;0.049;0.127
04.01.2019 13:00;0.1;0.249;0.365;0.033;0.197
04.01.2019 14:00;0.036;0.2;0.436;0.007;0.19
04.01.2019 15:00;0.004;0.118;0.448;0;0.052
04.01.2019 16:00;0;0.039;0.379;0;0
04.01.2019 17:00;0;0;0.178;0;0
04.01.2019 18:00;0;0;0;0;0
04.01.2019 19:00;0;0;0;0;0
04.01.2019 20:00;0;0;0;0;0
04.01.2019 21:00;0;0;0;0;0
04.01.2019 22:00;0;0;0;0;0
04.01.2019 23:00;0;0;0;0;0
05.01.2019 00:00;0;0;0;0;0
05.01.2019 01:00;0;0;0;0;0
05.01.2019 02:00;0;0;0;0;0
05.01.2019 03:00;0;0;0;0;0
05.01.2019 04:00;0;0;0;0;0
05.01.2019 05:00;0;0;0;0;0
05.01.2019 06:00;0;0;0;0;0
05.01.2019 07:00;0;0;0;0;0
05.01.2019 08:00;0.004;0.044;0;0;0.004
05.01.2019 09:00;0.014;0.092;0.02;0;0.037
05.01.2019 10:00;0.024;0.108;0.029;0.019;0.074
05.01.2019 11:00;0.036;0.156;0.085;0.029;0.099
05.01.2019 12:00;0.047;0.187;0.243;0.071;0.103
05.01.2019 13:00;0.068;0.202;0.362;0.081;0.086
05.01.2019 14:00;0.055;0.166;0.43;0.038;0.05
05.01.2019 15:00;0.013;0.103;0.44;0;0.009
05.01.2019 16:00;0;0.032;0.37;0;0
05.01.2019 17:00;0;0;0.169;0;0
05.01.2019 18:00;0;0;0;0;0
05.01.2019 19:00;0;0;0;0;0
05.01.2019 20:00;0;0;0;0;0
05.01.2019 21:00;0;0;0;0;0
05.01.2019 22:00;0;0;0;0;0
05.01.2019 23:00;0;0;0;0;0
06.01.2019 00:00;0;0;0;0;0
06.01.2019 01:00;0;0;0;0;0
06.01.2019 02:00;0;0;0;0;0
06.01.2019 03:00;0;0;0;0;0
06.01.2019 04:00;0;0;0;0;0
06.01.2019 05:00;0;0;0;0;0
06.01.2019 06:00;0;0;0;0;0
06.01.2019 07:00;0;0;0;0;0
06.01.2019 08:00;0.027;0.025;0;0;0.002
06.01.2019 09:00;0.063;0.038;0.017;0;0.032
06.01.2019 10:00;0.102;0.089;0.025;0.018;0.073
06.01.2019 11:00;0.15;0.251;0.082;0.034;0.11
06.01.2019 12:00;0.18;0.376;0.246;0.061;0.137
06.01.2019 13:00;0.128;0.443;0.368;0.07;0.075
06.01.2019 14:00;0.102;0.443;0.438;0.038;0.034
06.01.2019 15:00;0.026;0.363;0.451;0;0.004
06.01.2019 16:00;0;0.172;0.388;0;0
06.01.2019 17:00;0;0;0.191;0;0
06.01.2019 18:00;0;0;0;0;0
06.01.2019 19:00;0;0;0;0;0
06.01.2019 20:00;0;0;0;0;0
06.01.2019 21:00;0;0;0;0;0
06.01.2019 22:00;0;0;0;0;0
06.01.2019 23:00;0;0;0;0;0
07.01.2019 00:00;0;0;0;0;0
07.01.2019 01:00;0;0;0;0;0
07.01.2019 02:00;0;0;0;0;0
07.01.2019 03:00;0;0;0;0;0
07.01.2019 04:00;0;0;0;0;0
07.01.2019 05:00;0;0;0;0;0
07.01.2019 06:00;0;0;0;0;0
07.01.2019 07:00;0;0;0;0;0
07.01.2019 08:00;0.028;0.04;0;0;0.001
07.01.2019 09:00;0.072;0.086;0.02;0;0.014
07.01.2019 10:00;0.106;0.152;0.028;0.005;0.047
07.01.2019 11:00;0.145;0.206;0.085;0.01;0.069
07.01.2019 12:00;0.165;0.22;0.244;0.013;0.07
07.01.2019 13:00;0.152;0.191;0.362;0.007;0.052
07.01.2019 14:00;0.091;0.115;0.429;0;0.035
07.01.2019 15:00;0.021;0.072;0.436;0;0.012
07.01.2019 16:00;0;0.021;0.364;0;0
07.01.2019 17:00;0;0;0.161;0;0
07.01.2019 18:00;0;0;0;0;0
07.01.2019 19:00;0;0;0;0;0
07.01.2019 20:00;0;0;0;0;0
07.01.2019 21:00;0;0;0;0;0
07.01.2019 22:00;0;0;0;0;0
07.01.2019 23:00;0;0;0;0;0
08.01.2019 00:00;0;0;0;0;0
08.01.2019 01:00;0;0;0;0;0
08.01.2019 02:00;0;0;0;0;0
08.01.2019 03:00;0;0;0;0;0
08.01.2019 04:00;0;0;0;0;0
08.01.2019 05:00;0;0;0;0;0
08.01.2019 06:00;0;0;0;0;0
08.01.2019 07:00;0;0;0;0;0
08.01.2019 08:00;0.004;0.034;0;0;0.005
08.01.2019 09:00;0.023;0.097;0.023;0;0.029
08.01.2019 10:00;0.059;0.149;0.032;0.008;0.07
08.01.2019 11:00;0.091;0.223;0.087;0.019;0.129
08.01.2019 12:00;0.174;0.293;0.243;0.023;0.211
08.01.2019 13:00;0.251;0.36;0.361;0.016;0.243
08.01.2019 14:00;0.126;0.358;0.427;0.004;0.199
08.01.2019 15:00;0.016;0.287;0.434;0;0.06
08.01.2019 16:00;0;0.137;0.362;0;0
08.01.2019 17:00;0;0;0.16;0;0
08.01.2019 18:00;0;0;0;0;0
08.01.2019 19:00;0;0;0;0;0
08.01.2019 20:00;0;0;0;0;0
08.01.2019 21:00;0;0;0;0;0
08.01.2019 22:00;0;0;0;0;0
08.01.2019 23:00;0;0;0;0;0
09.01.2019 00:00;0;0;0;0;0
09.01.2019 01:00;0;0;0;0;0
09.01.2019 02:00;0;0;0;0;0
09.01.2019 03:00;0;0;0;0;0
09.01.2019 04:00;0;0;0;0;0
