,2,3,4,5
Prosumer SH 1,0.13919725072751532,0.0,0.0,0.0
Prosumer SH 2,0.35302154334235925,0.0,0.0,0.0
Prosumer SH 3,0.4375214429738321,0.0,0.0,0.0
Prosumer SH 4,0.0,0.0,0.0,0.0
Prosumer SH 5,0.6475701336818239,0.0,0.0,0.0
Prosumer SH 6,0.0,0.0,0.0,0.0
Prosumer SH 7,0.5132002946182005,0.0,0.0,0.0
Prosumer SH 8,0.0,0.0,0.0,0.0
Prosumer SH 9,0.0,0.0,0.0,0.0
Prosumer SH 10,0.0,0.0,0.0,0.0
Prosumer SAB 1,0.0,0.0,0.0,0.0
Prosumer SAB 2,0.0,0.0,0.0,0.0
Prosumer SAB 3,0.0,0.0,0.0,0.0
Prosumer SAB 4,0.0,-5.6426900707032315e-09,-1.1810381054823609e-09,0.0
Prosumer SAB 5,0.9856085962667004,-3.58851231167497e-12,0.0,0.0
Prosumer SAB 6,0.0,0.0,0.0,0.0
Prosumer SAB 7,0.0,0.0,0.0,0.0
Prosumer SAB 8,4.920464336116059e-14,-1.2867416601389345e-09,0.0,0.0
Prosumer SME 1,1.05230757528962,0.0,0.0,0.0
Prosumer SME 2,0.0,0.0,0.0,0.0
